ticker,exchange,company_name,period,document_type,source_type,source_name,source_url,official_domain,expected_file_type,consolidated_status,language,confidence_seed,notes
VCB,HOSE,Vietcombank,DISCOVERY,ir_page,company_ir,Vietcombank IR,https://www.vietcombank.com.vn/vi-VN/Nha-dau-tu,vietcombank.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
HPG,HOSE,Hoa Phat Group,DISCOVERY,financial_statement,company_ir,Hoa Phat financial statements,https://www.hoaphat.com.vn/bao-cao-tai-chinh,hoaphat.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
HSG,HOSE,Hoa Sen Group,DISCOVERY,ir_page,company_ir,Hoa Sen shareholder relations,https://www.hoasengroup.vn/vi/quan-he-co-dong/,hoasengroup.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
HSG,HOSE,Hoa Sen Group,DISCOVERY,financial_statement,company_ir,Hoa Sen financial statements,https://www.hoasengroup.vn/vi/bao-cao-tai-chinh/,hoasengroup.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VHM,HOSE,Vinhomes,DISCOVERY,ir_page,company_ir,Vinhomes investor relations,https://vinhomes.vn/vi/quan-he-co-dong,vinhomes.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VHM,HOSE,Vinhomes,DISCOVERY,financial_statement,company_ir,Vinhomes financial statements,https://vinhomes.vn/vi/quan-he-co-dong/bao-cao-tai-chinh,vinhomes.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
KDH,HOSE,Khang Dien,DISCOVERY,ir_page,company_ir,Khang Dien shareholder relations,https://www.khangdien.com.vn/quan-he-co-dong/,khangdien.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
KDH,HOSE,Khang Dien,DISCOVERY,financial_statement,company_ir,Khang Dien financial statements,https://www.khangdien.com.vn/bao-cao-tai-chinh/,khangdien.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
NLG,HOSE,Nam Long,DISCOVERY,ir_page,company_ir,Nam Long investor relations,https://www.namlongvn.com/investor-relations/,namlongvn.com,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
NLG,HOSE,Nam Long,DISCOVERY,financial_statement,company_ir,Nam Long financial reports,https://www.namlongvn.com/financial-reports/,namlongvn.com,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
SSI,HOSE,SSI Securities,DISCOVERY,ir_page,company_ir,SSI investor relations,https://www.ssi.com.vn/quan-he-nha-dau-tu,ssi.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
SSI,HOSE,SSI Securities,DISCOVERY,financial_statement,company_ir,SSI financial statements,https://www.ssi.com.vn/quan-he-nha-dau-tu/bao-cao-tai-chinh,ssi.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VND,HOSE,VNDirect,DISCOVERY,ir_page,company_ir,VNDirect investor relations,https://www.vndirect.com.vn/quan-he-nha-dau-tu/,vndirect.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VND,HOSE,VNDirect,DISCOVERY,financial_statement,company_ir,VNDirect financial statements,https://www.vndirect.com.vn/bao-cao-tai-chinh/,vndirect.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
GAS,HOSE,PV GAS,DISCOVERY,ir_page,company_ir,PV GAS shareholder relations,https://www.pvgas.com.vn/quan-he-co-dong,pvgas.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
GAS,HOSE,PV GAS,DISCOVERY,financial_statement,company_ir,PV GAS financial statements,https://www.pvgas.com.vn/quan-he-co-dong/bao-cao-tai-chinh,pvgas.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
PVS,HNX,PTSC,DISCOVERY,ir_page,company_ir,PTSC shareholder relations,https://www.ptsc.com.vn/quan-he-co-dong,ptsc.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
PVS,HNX,PTSC,DISCOVERY,financial_statement,company_ir,PTSC financial statements,https://www.ptsc.com.vn/bao-cao-tai-chinh,ptsc.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
FPT,HOSE,FPT Corporation,DISCOVERY,ir_page,company_ir,FPT investor relations,https://fpt.com/vi/nha-dau-tu,fpt.com,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
FPT,HOSE,FPT Corporation,DISCOVERY,annual_report,company_ir,FPT reports,https://fpt.com/vi/nha-dau-tu/bao-cao,fpt.com,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
FPT,HOSE,FPT Corporation,DISCOVERY,ir_page,company_ir,FPT investor relations EN,https://fpt.com/en/investor-relations,fpt.com,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
MWG,HOSE,Mobile World Investment Corporation,DISCOVERY,ir_page,company_ir,MWG investor relations,https://mwg.vn/quan-he-co-dong/,mwg.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
MWG,HOSE,Mobile World Investment Corporation,DISCOVERY,financial_statement,company_ir,MWG financial statements,https://mwg.vn/bao-cao-tai-chinh/,mwg.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
MWG,HOSE,Mobile World Investment Corporation,DISCOVERY,ir_page,company_ir,MWG investor relations EN,https://mwg.vn/eng/investor-relations/,mwg.vn,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VGC,HOSE,Viglacera,DISCOVERY,ir_page,company_ir,Viglacera shareholder relations,https://viglacera.com.vn/vi/quan-he-co-dong/,viglacera.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VGC,HOSE,Viglacera,DISCOVERY,financial_statement,company_ir,Viglacera financial statements,https://viglacera.com.vn/vi/bao-cao-tai-chinh/,viglacera.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
GMD,HOSE,Gemadept,DISCOVERY,ir_page,company_ir,Gemadept shareholder relations,https://www.gemadept.com.vn/quan-he-co-dong,gemadept.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
GMD,HOSE,Gemadept,DISCOVERY,financial_statement,company_ir,Gemadept financial statements,https://www.gemadept.com.vn/bao-cao-tai-chinh,gemadept.com.vn,html,unknown,vi,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VHC,HOSE,Vinh Hoan,DISCOVERY,ir_page,company_ir,Vinh Hoan investor relations,https://www.vinhhoan.com/investor-relations/,vinhhoan.com,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
VHC,HOSE,Vinh Hoan,DISCOVERY,financial_statement,company_ir,Vinh Hoan financial reports,https://www.vinhhoan.com/financial-reports/,vinhhoan.com,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
TCM,HOSE,Thanh Cong Textile Garment Investment Trading,DISCOVERY,ir_page,company_ir,Thanh Cong investor relations,https://www.thanhcong.com.vn/investor-relations/,thanhcong.com.vn,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
TCM,HOSE,Thanh Cong Textile Garment Investment Trading,DISCOVERY,financial_statement,company_ir,Thanh Cong financial reports,https://www.thanhcong.com.vn/financial-reports/,thanhcong.com.vn,html,unknown,mixed,medium,REAL_20_INITIAL_DISCOVERY_SEED; machine-download-verify in REAL-DATA-01I-C; do not treat as finance evidence until fetched and reviewed
